,Name,Position,TeamAbbrev,Vegas Total,VEGAS,Salary,GPP ALGO,Last 4,L4: Value,Proj #1,Proj #2,Custom,Avg Proj,DVP L14,DVP L14 %ofFP,ID,AvgPointsPerGame
158,Michael Kidd-Gilchrist,SF/PF,CHA,111.5,4.5,3200,,9.6,3.0,12.5,16.1,16.9,15.2,47.5,20.60%,Michael Kidd-Gilchrist (12152043),12.5
159,Wesley Johnson,SG/SF,CHA,112.5,5.0,3200,31.66,12.4,3.9,12.7,0.9,1.0,4.9,39.2,17.1 %,Wesley Johnson (12125030),12.7
16,Trae Young,PG,ATL,116.0,5.0,8300,,46.2,5.6,43.8,38.1,40.9,40.9,49.1,21.40%,Trae Young (12151311),43.8
160,Jerome Robinson,SG,MEM,108.0,-2.0,3200,30.25,8.2,2.6,6.0,4.0,4.1,4.7,41.2,18.6 %,Jerome Robinson (12125061),6.0
161,Cheick Diallo,C/PF,IND,107.75,5.5,3200,29.52,8.3,2.6,15.5,0.0,0.0,5.2,43.4,22.0 %,Cheick Diallo (12125035),15.5
162,Anthony Tolliver,SF/PF,NYK,113.0,-6.0,3200,25.28,3.6,1.1,4.5,3.6,3.8,4.0,45.2,19.8 %,Anthony Tolliver (12125075),4.5
163,Dirk Nowitzki,C/PF,DAL,107.25,1.0,3100,,18.8,6.0,18.0,19.9,20.4,19.4,51.7,22.40%,Dirk Nowitzki (12152224),18.0
164,Tony Parker,PG,CHA,111.5,4.5,3100,,16.1,5.2,17.9,14.1,14.7,15.6,46.1,20.00%,Tony Parker (12152130),17.9
165,Langston Galloway,PG/SG,DET,107.5,4.0,3100,,10.8,3.5,9.2,12.4,12.8,11.4,38.7,16.20%,Langston Galloway (12152248),9.2
166,Ryan Broekhoff,SG/SF,DEN,107.5,3.5,3000,31.94,8.1,2.7,4.8,3.1,3.2,3.7,44.8,19.9 %,Ryan Broekhoff (12125245),4.8
167,Jaylen Adams,PG,DET,109.5,3.5,3000,24.04,5.8,1.9,13.6,1.1,1.2,5.3,48.6,21.5 %,Jaylen Adams (12125380),13.6
168,Jordan Sibert,PG/SG,DET,109.5,3.5,3000,9.35,,0.0,3.6,0.0,0.0,1.2,46.7,20.7 %,Jordan Sibert (12125160),3.6
17,Rudy Gobert,C,UTA,118.25,-9.5,8200,,44.9,5.5,47.9,39.0,42.3,43.1,59.7,26.00%,Rudy Gobert (12151318),47.9
18,Donovan Mitchell,PG/SG,UTA,118.25,-9.5,8200,,44.6,5.4,41.3,39.0,42.2,40.8,42.1,18.30%,Donovan Mitchell (12151314),41.3
19,DeMar DeRozan,SG/SF,SAS,112.0,-4.0,8100,,39.6,4.9,40.2,36.8,38.7,38.5,41.0,18.40%,DeMar DeRozan (12151320),40.2
2,Giannis Antetokounmpo,SF/PF,MIL,115.5,-6.5,11000,,67.3,6.1,59.5,56.8,60.7,59.0,54.6,22.40%,Giannis Antetokounmpo (12151263),59.5
20,LaMarcus Aldridge,C/PF,SAS,112.0,-4.0,7900,,36.1,4.6,40.0,37.6,39.6,39.0,55.8,25.10%,LaMarcus Aldridge (12151327),40.0
